Rank,Name,Revenue,Revenue in percentage,Profit,Profit in percentage,Assets,employees,years on global 500 list
38,Bank of America,171912.0,0.494,26515.0,-0.037000000000000005,3180151.0,212985,30
39,General Motors,171842.0,0.096,10127.0,0.019,273064.0,163000,30
40,Elevance Health,171340.0,0.094,5987.0,-0.006,108928.0,104900,23
41,BMW,168102.6,0.121,12205.2,-0.353,277104.0,154950,30
42,Mercedes-Benz Group,165637.8,0.05,15417.0,0.011000000000000001,290503.6,166056,30
43,China Railway Construction,160847.4,-0.013000000000000001,1701.0,-0.055,234976.9,336433,13
44,China Baowu Steel Group,157216.3,-0.027999999999999997,2493.8,-0.055,191964.1,258697,21
45,Citigroup,156820.0,0.552,9228.0,-0.37799999999999995,2411834.0,237925,30
46,Centene,153999.0,0.065,2702.0,1.248,84641.0,67700,9
47,JD.com,153217.4,-0.015,3413.8,1.212,88613.1,517124,9
48,Home Depot,152669.0,-0.03,15143.0,-0.115,76530.0,463100,30
49,Electricité de France,151040.2,0.001,10827.9,-0.115,402929.1,171862,30
50,Marathon Petroleum,150307.0,-0.165,9681.0,-0.33299999999999996,85987.0,18200,13
51,Kroger,150039.0,0.012,2164.0,-0.036000000000000004,50505.0,414000,30
52,Phillips 66,149890.0,-0.147,7015.0,-0.364,75501.0,14000,12
53,Ping An Insurance,145759.1,-0.19699999999999998,12100.9,-0.027999999999999997,1631972.9,288751,15
54,Sinochem Holdings,143240.0,-0.17600000000000002,-3666.0,-0.027999999999999997,223940.0,203727,3
55,China Mobile Communications,142832.4,0.023,15253.4,0.036000000000000004,338346.6,453394,24
56,China National Offshore Oil,141731.8,-0.14,14559.2,-0.14300000000000002,225842.1,82560,18
57,Honda Motor,141348.5,0.132,7660.6,0.5920000000000001,196892.9,194993,30
58,Fannie Mae,141240.0,0.162,17408.0,0.34700000000000003,4325437.0,8100,27
59,China Life Insurance,139615.9,-0.078,-841.2,-1.123,954017.3,176625,22
60,Walgreens Boots Alliance,139081.0,0.048,-3080.0,-1.71,96628.0,268500,30
61,Valero Energy,139001.0,-0.188,8835.0,-0.23399999999999999,63056.0,9897,24
62,Banco Santander,137244.8,0.38299999999999995,11973.8,0.185,1984826.6,207206,30
63,China Communications Construction,136670.7,-0.012,1672.3,0.33299999999999996,361452.7,219034,17
64,BNP Paribas,136076.2,0.519,11864.6,0.106,2862269.7,182656,30
65,Mitsubishi,135389.8,-0.151,6670.2,-0.235,155135.4,80037,30
66,Meta Platforms,134902.0,0.157,39098.0,0.685,229623.0,67317,8
67,HSBC Holdings,134901.0,0.536,23533.0,0.46799999999999997,3038677.0,220861,30
68,Verizon Communications,133974.0,-0.021,11614.0,-0.45399999999999996,380255.0,105400,30
69,China Minmetals,132019.7,-0.011000000000000001,766.0,-0.126,159608.7,175524,18
70,Alibaba Group Holding,131337.9,0.036000000000000004,11165.1,0.051,244426.0,204891,8
71,CITIC Group,131242.3,0.302,4124.6,0.057,1617680.9,213290,16
72,China Resources,126169.5,0.037000000000000005,3797.5,-0.185,367033.5,394112,15
73,Hyundai Motor,124576.7,0.128,9158.6,0.605,218047.7,73502,29
74,AT&T,122428.0,0.013999999999999999,14400.0,0.605,407060.0,150470,30
75,Shandong Energy Group,122383.2,-0.013999999999999999,829.6,24.463,141176.3,214409,7
76,Comcast,121572.0,0.001,15388.0,1.8659999999999999,264811.0,186000,22
77,Deutsche Telekom,121046.2,0.008,19229.9,1.285,320637.3,199652,30
78,China Southern Power Grid,118813.5,0.045,2342.2,0.546,173039.2,268471,20
79,Uniper,116662.5,-0.595,6819.3,0.546,60703.6,6863,6
80,Wells Fargo,115340.0,0.392,19142.0,0.452,1932468.0,226000,27
81,Hengli Group,114664.5,0.261,980.8,1.7519999999999998,52686.3,173250,8
